,Filename,ClassId
955,./data/Train/00035/00031_00025.ppm,35
613,./data/Train/00001/00020_00013.ppm,1
114,./data/Train/00033/00003_00024.ppm,33
2,./data/Train/00030/00000_00002.ppm,30
268,./data/Train/00011/00008_00028.ppm,11
815,./data/Train/00005/00027_00005.ppm,5
1666,./data/Train/00010/00055_00016.ppm,10
91,./data/Train/00042/00003_00001.ppm,42
1088,./data/Train/00035/00036_00008.ppm,35
1759,./data/Train/00002/00058_00019.ppm,2
2129,./data/Train/00013/00070_00029.ppm,13
1324,./data/Train/00010/00044_00004.ppm,10
369,./data/Train/00003/00012_00009.ppm,3
1975,./data/Train/00002/00065_00025.ppm,2
500,./data/Train/00026/00016_00020.ppm,26
1991,./data/Train/00001/00066_00011.ppm,1
1108,./data/Train/00007/00036_00028.ppm,7
1214,./data/Train/00005/00040_00014.ppm,5
1565,./data/Train/00010/00052_00005.ppm,10
2054,./data/Train/00012/00068_00014.ppm,12
232,./data/Train/00013/00007_00022.ppm,13
129,./data/Train/00017/00004_00009.ppm,17
97,./data/Train/00036/00003_00007.ppm,36
1397,./data/Train/00001/00046_00017.ppm,1
1428,./data/Train/00012/00047_00018.ppm,12
1141,./data/Train/00012/00038_00001.ppm,12
249,./data/Train/00011/00008_00009.ppm,11
1308,./data/Train/00002/00043_00018.ppm,2
94,./data/Train/00014/00003_00004.ppm,14
481,./data/Train/00017/00016_00001.ppm,17
10,./data/Train/00009/00000_00010.ppm,9
389,./data/Train/00001/00012_00029.ppm,1
169,./data/Train/00029/00005_00019.ppm,29
128,./data/Train/00006/00004_00008.ppm,6
647,./data/Train/00001/00021_00017.ppm,1
223,./data/Train/00026/00007_00013.ppm,26
533,./data/Train/00035/00017_00023.ppm,35
826,./data/Train/00035/00027_00016.ppm,35
226,./data/Train/00034/00007_00016.ppm,34
349,./data/Train/00017/00011_00019.ppm,17
1182,./data/Train/00004/00039_00012.ppm,4
274,./data/Train/00017/00009_00004.ppm,17
1368,./data/Train/00001/00045_00018.ppm,1
43,./data/Train/00041/00001_00013.ppm,41
1984,./data/Train/00010/00066_00004.ppm,10
1573,./data/Train/00038/00052_00013.ppm,38
1948,./data/Train/00001/00064_00028.ppm,1
282,./data/Train/00026/00009_00012.ppm,26
399,./data/Train/00023/00013_00009.ppm,23
53,./data/Train/00015/00001_00023.ppm,15
252,./data/Train/00026/00008_00012.ppm,26
1321,./data/Train/00009/00044_00001.ppm,9
577,./data/Train/00017/00019_00007.ppm,17
49,./data/Train/00027/00001_00019.ppm,27
335,./data/Train/00038/00011_00005.ppm,38
86,./data/Train/00034/00002_00026.ppm,34
352,./data/Train/00013/00011_00022.ppm,13
576,./data/Train/00011/00019_00006.ppm,11
401,./data/Train/00002/00013_00011.ppm,2
574,./data/Train/00038/00019_00004.ppm,38
139,./data/Train/00019/00004_00019.ppm,19
756,./data/Train/00005/00025_00006.ppm,5
764,./data/Train/00007/00025_00014.ppm,7
1825,./data/Train/00038/00060_00025.ppm,38
986,./data/Train/00011/00032_00026.ppm,11
1643,./data/Train/00001/00054_00023.ppm,1
717,./data/Train/00025/00023_00027.ppm,25
1260,./data/Train/00009/00042_00000.ppm,9
360,./data/Train/00004/00012_00000.ppm,4
1253,./data/Train/00001/00041_00023.ppm,1
1706,./data/Train/00002/00056_00026.ppm,2
960,./data/Train/00007/00032_00000.ppm,7
242,./data/Train/00040/00008_00002.ppm,40
81,./data/Train/00004/00002_00021.ppm,4
271,./data/Train/00004/00009_00001.ppm,4
1224,./data/Train/00013/00040_00024.ppm,13
418,./data/Train/00034/00013_00028.ppm,34
1109,./data/Train/00038/00036_00029.ppm,38
1232,./data/Train/00001/00041_00002.ppm,1
28,./data/Train/00029/00000_00028.ppm,29
306,./data/Train/00013/00010_00006.ppm,13
802,./data/Train/00010/00026_00022.ppm,10
159,./data/Train/00016/00005_00009.ppm,16
1095,./data/Train/00025/00036_00015.ppm,25
1419,./data/Train/00002/00047_00009.ppm,2
973,./data/Train/00008/00032_00013.ppm,8
581,./data/Train/00033/00019_00011.ppm,33
392,./data/Train/00004/00013_00002.ppm,4
345,./data/Train/00006/00011_00015.ppm,6
52,./data/Train/00003/00001_00022.ppm,3
316,./data/Train/00008/00010_00016.ppm,8
1552,./data/Train/00012/00051_00022.ppm,12
1205,./data/Train/00025/00040_00005.ppm,25
845,./data/Train/00002/00028_00005.ppm,2
527,./data/Train/00031/00017_00017.ppm,31
1134,./data/Train/00009/00037_00024.ppm,9
767,./data/Train/00002/00025_00017.ppm,2
1,./data/Train/00008/00000_00001.ppm,8
1589,./data/Train/00001/00052_00029.ppm,1
331,./data/Train/00031/00011_00001.ppm,31
377,./data/Train/00012/00012_00017.ppm,12
